"","dynamicColors","mergedColors"
"LPIN2","turquoise","turquoise"
"LPIN3","purple","purple"
"LPL","salmon","salmon"
"LPO","brown","brown"
"LPP","turquoise","turquoise"
"LPXN","magenta","magenta"
"LRAT","pink","pink"
"LRBA","blue","blue"
"LRCH1","tan","tan"
"LRCH2","black","black"
"LRCH3","turquoise","turquoise"
"LRCH4","yellow","yellow"
"LRFN1","blue","blue"
"LRFN2","pink","pink"
"LRFN3","yellow","yellow"
"LRFN4","blue","blue"
"LRFN5","greenyellow","greenyellow"
"LRG1","brown","brown"
"LRGUK","brown","brown"
"LRIG1","brown","brown"
"LRIG2","turquoise","turquoise"
"LRIG3","pink","pink"
"LRIT3","grey","grey"
"LRMP","red","magenta"
"LRP10","green","green"
"LRP11","grey","grey"
"LRP12","pink","pink"
"LRP1","black","black"
"LRP1B","grey","grey"
"LRP2","green","green"
"LRP2BP","blue","blue"
"LRP3","yellow","yellow"
"LRP4","tan","tan"
"LRP5","grey","grey"
"LRP5L","yellow","yellow"
"LRP6","turquoise","turquoise"
"LRP8","green","green"
"LRPAP1","yellow","yellow"
"LRPPRC","yellow","yellow"
"LRRC10B","grey","grey"
"LRRC14","yellow","yellow"
"LRRC14B","grey","grey"
"LRRC15","black","black"
"LRRC1","grey","grey"
"LRRC17","black","black"
"LRRC18","tan","tan"
"LRRC19","grey","grey"
"LRRC20","grey","grey"
"LRRC23","purple","purple"
"LRRC24","yellow","yellow"
"LRRC25","magenta","magenta"
"LRRC26","purple","purple"
"LRRC27","purple","purple"
"LRRC2","red","magenta"
"LRRC28","grey","grey"
"LRRC29","purple","purple"
"LRRC31","brown","brown"
"LRRC32","black","black"
"LRRC34","grey","grey"
"LRRC36","grey","grey"
"LRRC37A2","blue","blue"
"LRRC37A3","green","green"
"LRRC37A","blue","blue"
"LRRC37B","grey","grey"
"LRRC3","grey","grey"
"LRRC39","grey","grey"
"LRRC3B","greenyellow","greenyellow"
"LRRC43","grey","grey"
"LRRC45","yellow","yellow"
"LRRC4","tan","tan"
"LRRC46","brown","brown"
"LRRC49","blue","blue"
"LRRC4B","greenyellow","greenyellow"
"LRRC4C","tan","tan"
"LRRC55","red","magenta"
"LRRC56","purple","purple"
"LRRC58","turquoise","turquoise"
"LRRC59","green","green"
"LRRC61","yellow","yellow"
"LRRC6","brown","brown"
"LRRC66","grey","grey"
"LRRC69","grey","grey"
"LRRC70","greenyellow","greenyellow"
"LRRC8B","turquoise","turquoise"
"LRRC8C","red","magenta"
"LRRC8D","purple","purple"
"LRRC8E","red","magenta"
"LRRCC1","cyan","cyan"
"LRRFIP1","blue","blue"
"LRRFIP2","grey","grey"
"LRRIQ1","grey","grey"
"LRRIQ3","grey","grey"
"LRRIQ4","grey","grey"
"LRRK1","magenta","magenta"
"LRRK2","magenta","magenta"
"LRRN1","tan","tan"
"LRRN2","grey","grey"
"LRRN3","tan","tan"
"LRRN4","brown","brown"
"LRRN4CL","greenyellow","greenyellow"
"LRRTM2","tan","tan"
"LRSAM1","purple","purple"
"LRTM2","grey","grey"
"LRTOMT","brown","brown"
"LRWD1","yellow","yellow"
"LSAMP","tan","tan"
"LSM10","turquoise","turquoise"
"LSM11","turquoise","turquoise"
"LSM1","grey","grey"
"LSM2","blue","blue"
"LSM4","turquoise","turquoise"
"LSM5","turquoise","turquoise"
"LSM6","blue","blue"
"LSM7","yellow","yellow"
"LSP1","magenta","magenta"
"LSR","blue","blue"
"LSS","blue","blue"
"LST1","magenta","magenta"
"LTA","red","magenta"
"LTB","red","magenta"
"LTB4R","grey","grey"
"LTB4R2","grey","grey"
"LTBP1","pink","pink"
"LTBP2","black","black"
"LTBP3","green","green"
"LTBP4","greenyellow","greenyellow"
"LTBR","blue","blue"
"LTC4S","yellow","yellow"
"LTF","magenta","magenta"
"LTK","red","magenta"
"LUC7L3","turquoise","turquoise"
"LUC7L","purple","purple"
"LUM","black","black"
"LUZP1","turquoise","turquoise"
"LUZP2","tan","tan"
"LXN","magenta","magenta"
"LY6D","pink","pink"
"LY6E","blue","blue"
"LY6G5B","yellow","yellow"
"LY6G5C","turquoise","turquoise"
"LY6G6C","grey","grey"
"LY6H","greenyellow","greenyellow"
"LY6K","grey","grey"
"LY75","red","magenta"
"LY86","magenta","magenta"
"LY9","red","magenta"
"LY96","magenta","magenta"
"LYAR","blue","blue"
"LYG1","turquoise","turquoise"
"LYG2","grey","grey"
"LYL1","magenta","magenta"
"LYN","magenta","magenta"
"LYNX1","grey","grey"
"LYPD1","blue","blue"
"LYPD3","grey","grey"
"LYPD5","pink","pink"
"LYPD6","brown","brown"
"LYPD6B","brown","brown"
"LYPLA1","cyan","cyan"
"LYPLA2","turquoise","turquoise"
"LYPLAL1","grey","grey"
"LYRM1","grey","grey"
"LYRM4","midnightblue","midnightblue"
"LYRM7","blue","blue"
"LYSMD1","grey","grey"
"LYSMD2","red","magenta"
"LYSMD3","blue","blue"
"LYSMD4","turquoise","turquoise"
"LYST","turquoise","turquoise"
"LYVE1","greenyellow","greenyellow"
"LYZ","red","magenta"
"LZIC","turquoise","turquoise"
"LZTFL1","brown","brown"
"LZTR1","yellow","yellow"
"LZTS1","black","black"
"LZTS2","yellow","yellow"
"MAB21L1","tan","tan"
"MAB21L2","grey","grey"
"MACC1","grey","grey"
"MACF1","turquoise","turquoise"
"MACROD1","yellow","yellow"
"MACROD2","blue","blue"
"MAD1L1","yellow","yellow"
"MAD2L1","green","green"
"MAD2L2","blue","blue"
"MADCAM1","grey","grey"
"MAEL","grey","grey"
"MAF1","yellow","yellow"
"MAF","magenta","magenta"
"MAFB","magenta","magenta"
"MAFF","yellow","yellow"
"MAFG","grey","grey"
"MAFK","yellow","yellow"
"MAG","brown","brown"
"MAGEA8","grey","grey"
"MAGEC1","grey","grey"
"MAGEC3","grey","grey"
"MAGED1","grey","grey"
"MAGED2","brown","brown"
"MAGED4","blue","blue"
"MAGED4B","black","black"
"MAGEE1","blue","blue"
"MAGEE2","tan","tan"
"MAGEF1","turquoise","turquoise"
"MAGEH1","grey","grey"
"MAGEL2","black","black"
"MAGI1","turquoise","turquoise"
"MAGI2","blue","blue"
"MAGI3","blue","blue"
"MAGIX","turquoise","turquoise"
"MAGOH","blue","blue"
"MAGOHB","green","green"
"MAK16","grey","grey"
"MAK","green","green"
"MAL2","cyan","cyan"
"MAL","red","magenta"
"MALL","pink","pink"
"MALT1","pink","pink"
"MAMDC2","tan","tan"
"MAMDC4","yellow","yellow"
"MAML2","pink","pink"
"MAML3","blue","blue"
"MAMLD1","pink","pink"
"MAMSTR","turquoise","turquoise"
"MAN1A1","turquoise","turquoise"
"MAN1A2","turquoise","turquoise"
"MAN1B1","yellow","yellow"
"MAN1C1","green","green"
"MAN2A1","turquoise","turquoise"
"MAN2A2","grey","grey"
"MAN2B1","magenta","magenta"
"MAN2B2","brown","brown"
"MAN2C1","yellow","yellow"
"MANBA","grey","grey"
"MANEA","turquoise","turquoise"
"MANEAL","grey","grey"
"MANF","blue","blue"
"MANSC1","grey","grey"
"MAOA","green","green"
"MAOB","grey","grey"
"MAP1A","black","black"
"MAP1B","tan","tan"
"MAP1LC3A","turquoise","turquoise"
"MAP1LC3B2","grey","grey"
"MAP1LC3C","greenyellow","greenyellow"
"MAP1S","yellow","yellow"
"MAP2","pink","pink"
"MAP2K2","yellow","yellow"
"MAP2K3","blue","blue"
"MAP2K4","blue","blue"
"MAP2K6","grey","grey"
"MAP2K7","yellow","yellow"
"MAP3K10","yellow","yellow"
"MAP3K11","yellow","yellow"
"MAP3K12","brown","brown"
"MAP3K13","turquoise","turquoise"
"MAP3K1","blue","blue"
"MAP3K14","red","magenta"
"MAP3K15","grey","grey"
"MAP3K2","turquoise","turquoise"
"MAP3K3","tan","tan"
"MAP3K5","magenta","magenta"
"MAP3K6","yellow","yellow"
"MAP3K8","red","magenta"
"MAP3K9","turquoise","turquoise"
"MAP4K1","red","magenta"
"MAP4K2","blue","blue"
"MAP4K3","turquoise","turquoise"
"MAP4K4","pink","pink"
"MAP6","grey","grey"
"MAP6D1","grey","grey"
"MAP7","red","magenta"
"MAP7D1","yellow","yellow"
"MAP7D2","green","green"
"MAP7D3","pink","pink"
"MAP9","blue","blue"
"MAPK10","grey","grey"
"MAPK11","yellow","yellow"
"MAPK12","yellow","yellow"
"MAPK13","grey","grey"
"MAPK15","yellow","yellow"
"MAPK3","purple","purple"
"MAPK4","pink","pink"
"MAPK6","turquoise","turquoise"
"MAPK7","yellow","yellow"
"MAPK8","turquoise","turquoise"
"MAPK8IP1","grey","grey"
"MAPK8IP2","pink","pink"
"MAPK8IP3","purple","purple"
"MAPK9","blue","blue"
"MAPKAPK2","grey","grey"
"MAPKAPK3","grey","grey"
"MAPKBP1","tan","tan"
"MAPRE2","pink","pink"
"MAPRE3","grey","grey"
"MAPT","brown","brown"
"MARCH10","brown","brown"
"MARCH1","magenta","magenta"
"MARCH2","yellow","yellow"
"MARCH3","grey","grey"
"MARCH4","red","magenta"
"MARCH6","turquoise","turquoise"
"MARCH8","turquoise","turquoise"
"MARCH9","purple","purple"
"MARCKS","magenta","magenta"
"MARCKSL1","blue","blue"
"MARCO","magenta","magenta"
"MARK1","pink","pink"
"MARVELD1","black","black"
"MARVELD2","blue","blue"
"MARVELD3","grey","grey"
"MASP1","greenyellow","greenyellow"
"MASP2","turquoise","turquoise"
"MAST1","grey","grey"
"MAST2","grey","grey"
"MAST3","red","magenta"
"MAST4","blue","blue"
"MASTL","green","green"
"MAT1A","grey","grey"
"MATK","red","magenta"
"MATN1","blue","blue"
"MATN2","greenyellow","greenyellow"
"MATN3","black","black"
"MATN4","brown","brown"
"MAVS","turquoise","turquoise"
"MAZ","purple","purple"
"MB","brown","brown"
"MBD3","yellow","yellow"
"MBD5","turquoise","turquoise"
"MBD6","purple","purple"
"MBLAC1","yellow","yellow"
"MBLAC2","blue","blue"
"MBNL1","pink","pink"
"MBNL2","turquoise","turquoise"
"MBNL3","turquoise","turquoise"
"MBOAT1","grey","grey"
"MBOAT2","grey","grey"
"MBOAT4","grey","grey"
"MBOAT7","yellow","yellow"
"MBP","red","magenta"
"MBTD1","turquoise","turquoise"
"MBTPS2","turquoise","turquoise"
"MC1R","yellow","yellow"
"MC4R","grey","grey"
"MCAM","greenyellow","greenyellow"
"MCAT","turquoise","turquoise"
"MCC","blue","blue"
"MCCC1","brown","brown"
"MCCC2","brown","brown"
"MCCD1","brown","brown"
"MCEE","green","green"
"MCF2","grey","grey"
"MCF2L2","pink","pink"
"MCF2L","brown","brown"
"MCHR1","grey","grey"
"MCL1","red","magenta"
"MCM10","green","green"
"MCM2","green","green"
"MCM3","green","green"
"MCM4","green","green"
"MCM5","green","green"
"MCM6","green","green"
"MCM7","green","green"
"MCM8","green","green"
"MCM9","turquoise","turquoise"
"MCOLN1","yellow","yellow"
"MCOLN2","red","magenta"
"MCOLN3","grey","grey"
"MCPH1","turquoise","turquoise"
"MCTP1","tan","tan"
"MCTP2","pink","pink"
"MDC1","green","green"
"MDFI","pink","pink"
"MDFIC","pink","pink"
"MDGA1","black","black"
"MDH1B","brown","brown"
"MDH2","blue","blue"
"MDK","blue","blue"
"MDM1","blue","blue"
"MDM2","blue","blue"
"MDM4","blue","blue"
"MDN1","turquoise","turquoise"
"MDP1","turquoise","turquoise"
"ME1","green","green"
"ME2","green","green"
"ME3","green","green"
"MEA1","turquoise","turquoise"
"MEAF6","magenta","magenta"
"MECOM","greenyellow","greenyellow"
"MED10","turquoise","turquoise"
"MED11","turquoise","turquoise"
"MED12L","turquoise","turquoise"
"MED13","turquoise","turquoise"
"MED13L","blue","blue"
"MED1","turquoise","turquoise"
"MED15","yellow","yellow"
"MED16","yellow","yellow"
"MED22","yellow","yellow"
"MED23","turquoise","turquoise"
"MED24","green","green"
"MED25","yellow","yellow"
"MED30","cyan","cyan"
"MEF2A","turquoise","turquoise"
"MEF2B","yellow","yellow"
"MEF2C","tan","tan"
"MEF2D","green","green"
"MEFV","magenta","magenta"
"MEGF10","grey","grey"
"MEGF11","pink","pink"
"MEGF6","black","black"
"MEGF8","green","green"
"MEGF9","blue","blue"
"MEI1","red","magenta"
"MEIG1","grey","grey"
"MEIS1","black","black"
"MEIS2","tan","tan"
"MEIS3","green","green"
"MELK","green","green"
"MEMO1","brown","brown"
"MEOX1","greenyellow","greenyellow"
"MEOX2","greenyellow","greenyellow"
"MEP1A","red","magenta"
"MEPE","grey","grey"
"MERTK","magenta","magenta"
"MESP1","turquoise","turquoise"
"MESP2","grey","grey"
"MEST","grey","grey"
"MET","pink","pink"
"METRN","purple","purple"
"METRNL","yellow","yellow"
"METTL11B","black","black"
"METTL1","turquoise","turquoise"
"METTL14","turquoise","turquoise"
"METTL2A","turquoise","turquoise"
"METTL3","grey","grey"
"METTL4","green","green"
"METTL7A","greenyellow","greenyellow"
"METTL7B","grey","grey"
"MEX3A","green","green"
"MEX3B","pink","pink"
"MEX3C","turquoise","turquoise"
"MEX3D","yellow","yellow"
"MFAP2","black","black"
"MFAP3","blue","blue"
"MFAP3L","black","black"
"MFAP4","tan","tan"
"MFAP5","black","black"
"MFGE8","pink","pink"
"MFHAS1","turquoise","turquoise"
"MFN1","turquoise","turquoise"
"MFNG","red","magenta"
"MFRP","black","black"
"MFSD10","yellow","yellow"
"MFSD2A","grey","grey"
"MFSD2B","blue","blue"
"MFSD3","yellow","yellow"
"MFSD6","turquoise","turquoise"
"MFSD6L","grey","grey"
"MFSD9","turquoise","turquoise"
"MGA","turquoise","turquoise"
"MGAM","grey","grey"
"MGAT1","magenta","magenta"
"MGAT3","red","magenta"
"MGAT4A","blue","blue"
"MGAT5","turquoise","turquoise"
"MGAT5B","grey","grey"
"STEAP1B","green","green"
"MGLL","greenyellow","greenyellow"
"MGMT","turquoise","turquoise"
"MGP","green","green"
"MGST1","grey","grey"
"MGST2","turquoise","turquoise"
"MGST3","turquoise","turquoise"
"MIA3","blue","blue"
"MIA","pink","pink"
"MIB1","turquoise","turquoise"
"MIB2","yellow","yellow"
"MICA","grey","grey"
"MICAL1","magenta","magenta"
"MICAL2","black","black"
"MICAL3","pink","pink"
"MICALL1","pink","pink"
"MICALL2","purple","purple"
"MICB","magenta","magenta"
"MID1","pink","pink"
"MID1IP1","yellow","yellow"
"MID2","blue","blue"
"MIDN","purple","purple"
"MIER2","yellow","yellow"
"MIER3","blue","blue"
"MIF","yellow","yellow"
"MIF4GD","grey","grey"
"MIIP","yellow","yellow"
"MINPP1","blue","blue"
"MIOX","blue","blue"
"MIP","grey","grey"
"MIPEP","brown","brown"
"MIPOL1","blue","blue"
"MITF","black","black"
"MIXL1","red","magenta"
"MKI67","green","green"
"MKNK2","purple","purple"
"MKRN3","green","green"
"MKS1","grey","grey"
"MKX","grey","grey"
"MLANA","turquoise","turquoise"
"MLC1","grey","grey"
"MLEC","blue","blue"
"MLF1","green","green"
"MLF2","turquoise","turquoise"
"MLKL","red","magenta"
"MLLT10","turquoise","turquoise"
"MLLT11","green","green"
"MLLT3","grey","grey"
"MLLT6","grey","grey"
"MLPH","brown","brown"
"MLST8","purple","purple"
"MLXIP","turquoise","turquoise"
"MLXIPL","salmon","salmon"
"MLYCD","yellow","yellow"
"MMAB","turquoise","turquoise"
"MMACHC","grey","grey"
"MMD","black","black"
"MME","black","black"
"MMEL1","purple","purple"
"MMP10","black","black"
"MMP11","black","black"
"MMP12","magenta","magenta"
"MMP13","black","black"
"MMP1","green","green"
"MMP14","black","black"
"MMP15","turquoise","turquoise"
"MMP16","black","black"
"MMP17","green","green"
"MMP19","black","black"
"MMP21","grey","grey"
"MMP23B","greenyellow","greenyellow"
"MMP24","turquoise","turquoise"
"MMP2","black","black"
"MMP25","red","magenta"
"MMP27","tan","tan"
"MMP28","greenyellow","greenyellow"
"MMP3","black","black"
"MMP7","pink","pink"
"MMP8","magenta","magenta"
"MMP9","magenta","magenta"
"MMRN1","greenyellow","greenyellow"
"MMRN2","greenyellow","greenyellow"
"MN1","black","black"
"MNAT1","red","magenta"
"MND1","green","green"
"MNDA","magenta","magenta"
"MNS1","blue","blue"
"MNX1","grey","grey"
"MOAP1","brown","brown"
"MOB2","yellow","yellow"
"MOBP","grey","grey"
"MOCOS","grey","grey"
"MOCS1","greenyellow","greenyellow"
"MOCS2","blue","blue"
"MOGAT2","grey","grey"
"MON1A","turquoise","turquoise"
"MON1B","turquoise","turquoise"
"MON2","blue","blue"
"MORC3","turquoise","turquoise"
"MORC4","yellow","yellow"
"MORF4L2","green","green"
"MORN1","purple","purple"
"MORN2","turquoise","turquoise"
"MORN3","grey","grey"
"MORN4","brown","brown"
"MORN5","brown","brown"
"MOSPD2","turquoise","turquoise"
"MOSPD3","turquoise","turquoise"
"MOV10","red","magenta"
"MOV10L1","grey","grey"
"MOXD1","magenta","magenta"
"MPDU1","turquoise","turquoise"
"MPDZ","turquoise","turquoise"
"MPEG1","magenta","magenta"
"MPG","purple","purple"
"MPHOSPH6","brown","brown"
"MPHOSPH8","turquoise","turquoise"
"MPHOSPH9","turquoise","turquoise"
"MPI","grey","grey"
"MPL","pink","pink"
"MPND","yellow","yellow"
"MPO","red","magenta"
"MPP1","magenta","magenta"
"MPP2","brown","brown"
"MPP3","purple","purple"
"MPP4","grey","grey"
"MPP5","turquoise","turquoise"
"MPP6","pink","pink"
"MPP7","brown","brown"
"MPPED1","grey","grey"
"MPPED2","greenyellow","greenyellow"
"MPST","turquoise","turquoise"
"MPV17L","brown","brown"
"MPV17L2","turquoise","turquoise"
"MPZ","pink","pink"
"MPZL1","brown","brown"
"MPZL2","pink","pink"
"MPZL3","turquoise","turquoise"
"MR1","blue","blue"
"MRAP2","pink","pink"
"MRAP","salmon","salmon"
"MRAS","pink","pink"
"MRC1","magenta","magenta"
"MRC2","black","black"
"MREG","brown","brown"
"MRGPRE","grey","grey"
"MRGPRF","black","black"
"MRGPRX3","pink","pink"
"MRI1","yellow","yellow"
"MRM1","yellow","yellow"
"MRO","magenta","magenta"
"MRPL11","blue","blue"
"MRPL12","yellow","yellow"
"MRPL13","cyan","cyan"
"MRPL14","turquoise","turquoise"
"MRPL15","cyan","cyan"
"MRPL17","turquoise","turquoise"
"MRPL18","turquoise","turquoise"
"MRPL21","turquoise","turquoise"
"MRPL23","turquoise","turquoise"
"MRPL24","turquoise","turquoise"
"MRPL2","blue","blue"
"MRPL27","turquoise","turquoise"
"MRPL28","purple","purple"
"MRPL34","turquoise","turquoise"
"MRPL36","turquoise","turquoise"
"MRPL38","yellow","yellow"
"MRPL39","green","green"
"MRPL40","turquoise","turquoise"
"MRPL41","turquoise","turquoise"
"MRPL4","yellow","yellow"
"MRPL45","grey","grey"
"MRPL47","blue","blue"
"MRPL48","blue","blue"
"MRPL51","turquoise","turquoise"
"MRPL52","turquoise","turquoise"
"MRPL53","turquoise","turquoise"
"MRPL54","turquoise","turquoise"
"MRPL55","turquoise","turquoise"
"MRPL9","blue","blue"
"MRPS12","blue","blue"
"MRPS15","turquoise","turquoise"
"MRPS17","blue","blue"
"MRPS18A","blue","blue"
"MRPS21","turquoise","turquoise"
"MRPS23","grey","grey"
"MRPS24","turquoise","turquoise"
"MRPS2","turquoise","turquoise"
"MRPS25","turquoise","turquoise"
"MRPS26","turquoise","turquoise"
"MRPS28","cyan","cyan"
"MRPS30","brown","brown"
"MRPS33","turquoise","turquoise"
"MRPS34","purple","purple"
"MRPS36","brown","brown"
"MRPS6","blue","blue"
"MRPS7","yellow","yellow"
"MRTO4","blue","blue"
"MRVI1","black","black"
"MS4A14","grey","grey"
"MS4A15","brown","brown"
"MS4A1","red","magenta"
"MS4A2","tan","tan"
"MS4A4A","magenta","magenta"
"MS4A6A","magenta","magenta"
"MS4A7","magenta","magenta"
"MSC","black","black"
"MSH2","green","green"
"MSH3","blue","blue"
"MSH4","grey","grey"
"MSH5","yellow","yellow"
"MSH6","green","green"
"MSI1","green","green"
"MSI2","turquoise","turquoise"
"MSL1","turquoise","turquoise"
"MSLN","brown","brown"
"MSLNL","grey","grey"
"MSMB","brown","brown"
"MSMP","turquoise","turquoise"
"MSN","pink","pink"
"MSR1","magenta","magenta"
"MSRA","magenta","magenta"
"MSRB2","turquoise","turquoise"
"MSRB3","black","black"
"MST1","purple","purple"
"MST1R","grey","grey"
"MSTN","grey","grey"
"MSTO1","blue","blue"
"MSX1","greenyellow","greenyellow"
"MSX2","brown","brown"
"MT1A","grey","grey"
"MT1E","turquoise","turquoise"
"MT1F","turquoise","turquoise"
"MT1G","grey","grey"
"MT1H","green","green"
"MT1M","greenyellow","greenyellow"
"MT1X","blue","blue"
"MT2A","turquoise","turquoise"
"MT3","grey","grey"
"MTA1","yellow","yellow"
"MTAP","purple","purple"
"MTBP","green","green"
"MTCP1","grey","grey"
"MTDH","cyan","cyan"
"MTF1","turquoise","turquoise"
"MTFR1","cyan","cyan"
"MTG1","yellow","yellow"
"MTHFD1L","brown","brown"
"MTHFD2","green","green"
"MTHFD2L","grey","grey"
"MTHFR","green","green"
"MTHFS","turquoise","turquoise"
"MTHFSD","yellow","yellow"
"MTIF3","turquoise","turquoise"
"MTMR10","blue","blue"
"MTMR11","black","black"
"MTMR12","turquoise","turquoise"
"MTMR2","pink","pink"
"MTMR3","turquoise","turquoise"
"MTMR4","turquoise","turquoise"
"MTMR6","turquoise","turquoise"
"MTMR7","grey","grey"
"MTMR8","pink","pink"
"MTMR9","blue","blue"
"MTOR","turquoise","turquoise"
"MTR","turquoise","turquoise"
"MTRF1","turquoise","turquoise"
"MTRR","turquoise","turquoise"
"MTSS1","grey","grey"
"MTTP","brown","brown"
"MTUS1","blue","blue"
"MTUS2","grey","grey"
"MTX1","turquoise","turquoise"
"MTX3","blue","blue"
"MUC12","turquoise","turquoise"
"MUC13","grey","grey"
"MUC1","green","green"
"MUC15","pink","pink"
"MUC16","pink","pink"
"MUC20","grey","grey"
"MUC2","grey","grey"
"MUC4","grey","grey"
"MUC5B","pink","pink"
"MUC6","grey","grey"
"MUCL1","greenyellow","greenyellow"
"PWWP3A","purple","purple"
"MUS81","yellow","yellow"
"MUSTN1","greenyellow","greenyellow"
"MUTYH","blue","blue"
"MVD","blue","blue"
"MVK","turquoise","turquoise"
"MVP","purple","purple"
"MX1","lightcyan","lightcyan"
"MX2","lightcyan","lightcyan"
"MXD1","turquoise","turquoise"
"MXD3","turquoise","turquoise"
"MXD4","purple","purple"
"MXI1","grey","grey"
"MXRA5","black","black"
"MXRA7","black","black"
"MXRA8","black","black"
"MYADM","black","black"
"MYADML2","grey","grey"
"MYB","brown","brown"
"MYBBP1A","yellow","yellow"
"MYBL1","green","green"
"MYBL2","green","green"
"MYBPC1","pink","pink"
"MYBPC2","red","magenta"
"MYBPC3","magenta","magenta"
"MYBPH","grey","grey"
"MYBPHL","grey","grey"
"MYC","grey","grey"
"MYCBP2","turquoise","turquoise"
"MYCBPAP","brown","brown"
"MYCN","brown","brown"
"MYCT1","greenyellow","greenyellow"
"MYEF2","blue","blue"
"MYEOV","red","magenta"
"MYH10","turquoise","turquoise"
"MYH11","greenyellow","greenyellow"
"MYH13","black","black"
"MYH1","salmon","salmon"
"MYH14","grey","grey"
"MYH15","green","green"
"MYH2","grey","grey"
"MYH3","yellow","yellow"
"MYH4","black","black"
"MYH7B","purple","purple"
"MYH8","black","black"
"MYH9","black","black"
"MYL12B","turquoise","turquoise"
"MYL3","black","black"
"MYL4","turquoise","turquoise"
"MYL5","purple","purple"
"MYL6","turquoise","turquoise"
"MYL6B","turquoise","turquoise"
"MYL7","grey","grey"
"MYL9","black","black"
"MYLIP","brown","brown"
"MYLK2","blue","blue"
"MYLK3","brown","brown"
"MYLK4","pink","pink"
"MYLK","black","black"
"MYLPF","turquoise","turquoise"
"MYO10","brown","brown"
"MYO15A","purple","purple"
"MYO15B","purple","purple"
"MYO16","grey","grey"
"MYO18A","turquoise","turquoise"
"MYO18B","brown","brown"
"MYO19","green","green"
"MYO1A","magenta","magenta"
"MYO1B","black","black"
"MYO1C","green","green"
"MYO1D","black","black"
"MYO1E","pink","pink"
"MYO1F","magenta","magenta"
"MYO1G","red","magenta"
"MYO1H","pink","pink"
"MYO3A","grey","grey"
"MYO3B","grey","grey"
"MYO5A","turquoise","turquoise"
"MYO5B","turquoise","turquoise"
"MYO5C","brown","brown"
"MYO6","blue","blue"
"MYO7A","magenta","magenta"
"MYO7B","red","magenta"
"MYO9A","turquoise","turquoise"
"MYO9B","magenta","magenta"
"MYOC","salmon","salmon"
"MYOCD","greenyellow","greenyellow"
"MYOF","blue","blue"
"MYOM1","greenyellow","greenyellow"
"MYOM2","greenyellow","greenyellow"
"MYOM3","greenyellow","greenyellow"
"MYOT","grey","grey"
"MYOZ1","pink","pink"
"MYOZ2","grey","grey"
"MYOZ3","brown","brown"
"MYPN","grey","grey"
"MYPOP","turquoise","turquoise"
"MYRIP","brown","brown"
"MYSM1","turquoise","turquoise"
"MYT1","magenta","magenta"
"MZF1","purple","purple"
"N4BP2","turquoise","turquoise"
"N4BP2L1","green","green"
"N4BP2L2","green","green"
"N4BP3","purple","purple"
"N6AMT1","brown","brown"
"NAA10","turquoise","turquoise"
"NAA15","green","green"
"NAA16","turquoise","turquoise"
"NAA20","grey","grey"
"NAA25","turquoise","turquoise"
"NAA30","turquoise","turquoise"
"NAA40","grey","grey"
"NAAA","grey","grey"
"NAALAD2","greenyellow","greenyellow"
"NAALADL1","magenta","magenta"
"NAALADL2","blue","blue"
"NAB1","pink","pink"
"NAB2","yellow","yellow"
"NACA2","turquoise","turquoise"
"NACAD","black","black"
"NACC1","yellow","yellow"
"NACC2","grey","grey"
"NADSYN1","turquoise","turquoise"
"NAE1","green","green"
"NAF1","blue","blue"
"NAGK","turquoise","turquoise"
"NAGLU","yellow","yellow"
"NAGPA","purple","purple"
"NAGS","purple","purple"
"NAIP","blue","blue"
"NALCN","black","black"
"NAMPT","purple","purple"
"NANOG","grey","grey"
"NANOS1","grey","grey"
"NANOS3","turquoise","turquoise"
"NANP","green","green"
"NANS","turquoise","turquoise"
"NAP1L2","tan","tan"
"NAP1L3","black","black"
"NAP1L5","green","green"
"NAPA","purple","purple"
"NAPB","grey","grey"
"NAPEPLD","turquoise","turquoise"
"NAPSA","yellow","yellow"
"NARF","yellow","yellow"
"NARS2","grey","grey"
"NASP","green","green"
"NAT14","yellow","yellow"
"NAT1","brown","brown"
"NAT2","green","green"
"NAT8","brown","brown"
"NAT8L","grey","grey"
"NAT9","yellow","yellow"
"NAV1","turquoise","turquoise"
"NAV2","turquoise","turquoise"
"NAV3","green","green"
"NBEA","blue","blue"
"NBEAL1","turquoise","turquoise"
"NBEAL2","grey","grey"
"NBL1","black","black"
"NBN","cyan","cyan"
"NBPF10","turquoise","turquoise"
"NBPF14","turquoise","turquoise"
"NBPF15","turquoise","turquoise"
"NBPF1","turquoise","turquoise"
"NBPF3","turquoise","turquoise"
"NBPF4","grey","grey"
"NBPF6","grey","grey"
"NBPF9","turquoise","turquoise"
"NBR1","brown","brown"
"NCALD","pink","pink"
"NCAM1","black","black"
"NCAM2","brown","brown"
"NCAN","brown","brown"
"NCAPD2","green","green"
"NCAPD3","green","green"
"NCAPG2","green","green"
"NCAPG","green","green"
"NCAPH2","yellow","yellow"
"NCAPH","green","green"
"NCCRP1","pink","pink"
"NCDN","brown","brown"
"NCEH1","turquoise","turquoise"
"NCF1","magenta","magenta"
"NCF2","magenta","magenta"
"NCF4","magenta","magenta"
"NCK2","pink","pink"
"NCKAP1","turquoise","turquoise"
"NCKAP1L","magenta","magenta"
"NCKAP5","turquoise","turquoise"
"NCKAP5L","yellow","yellow"
"NCLN","yellow","yellow"
"NCOA1","turquoise","turquoise"
"NCOA2","turquoise","turquoise"
"NCOA3","turquoise","turquoise"
"NCOA4","turquoise","turquoise"
